2019-04-28 18:20:33.465 [http-nio-8080-exec-5-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=cbb7249a-49f1-4d5a-bbf0-9aa82ca0d204],[username=111],[bookId=88f5a70a-d847-4e32-b318-b36048077578],[bookName=Java语言程序设计],[author=龚炳江 文志诚],[press=人民邮电出版社],[category=计算机科学类],[isBorrow=0],[time=2019-04-28 18:20:33]}
2019-05-19 18:11:11.175 [http-nio-8080-exec-1-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:11:11]}
2019-05-19 18:14:31.489 [http-nio-8080-exec-9-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=1],[time=2019-05-19 18:14:31]}
2019-05-19 18:14:37.928 [http-nio-8080-exec-8-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:14:37]}
2019-05-19 18:15:44.458 [http-nio-8080-exec-1-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=1],[time=2019-05-19 18:15:44]}
2019-05-19 18:15:49.773 [http-nio-8080-exec-10-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:15:49]}
2019-05-19 18:18:55.934 [http-nio-8080-exec-1-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=1],[time=2019-05-19 18:18:55]}
2019-05-19 18:19:54.149 [http-nio-8080-exec-8-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=e686dd70-342e-4fb0-9f4b-46067a309a3b],[bookName=唐诗宋词三百首],[author=周娜],[press=中国华侨出版社],[category=古典文学类],[isBorrow=0],[time=2019-05-19 18:19:54]}
2019-05-19 18:25:59.821 [http-nio-8080-exec-6-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:25:59]}
2019-05-19 18:26:06.359 [http-nio-8080-exec-2-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=1],[time=2019-05-19 18:26:06]}
2019-05-19 18:26:10.065 [http-nio-8080-exec-8-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:26:10]}
2019-05-19 18:26:16.170 [http-nio-8080-exec-3-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=1],[time=2019-05-19 18:26:16]}
2019-05-19 18:35:07.410 [http-nio-8080-exec-3-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=39d9d2bd-7b86-46ab-bbe8-8892e8107503],[bookName=中国现代科学家主题展画册],[author=王春法],[press=张藜],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:35:07]}
2019-05-19 18:35:20.266 [http-nio-8080-exec-7-26] INFO  com.ujn.library.util.BorrowLogger 26 borrowLog - {borrowInfo: [userId=0001],[username=张三],[bookId=03672a9f-ce31-4667-9a33-91bb6f5ed5ff],[bookName=小学生文库],[author=杨世铎编写],[press=辽宁人民出版社],[category=现代科幻类],[isBorrow=0],[time=2019-05-19 18:35:20]}
